CleanedTitle,TopicName
phase 1 clinical trial autologous mesenchymal stem cell transplantation multiple sclerosis in8-2.003,1_clinical_treatment_disease_patient
chinese dictionary multilingual machine translation meiying zhu hiroshi uchida,4_student_learning_language_course
towards automatic 3d reconstruction 2d floorplan image,7_motion_de_object_camera
stomatology social security system guatemala,-1_research_study_paper_analysis
pair modeling dynalearn student attitude actual effect,4_student_learning_language_course
editorial,-1_research_study_paper_analysis
logistics network design,3_power_system_planning_voltage
coreference resolution portuguese using parallel corpus word alignment,4_student_learning_language_course
synthesis grice-strawson‟s putnam‟s argument defence analytic-synthetic distinction,-1_research_study_paper_analysis
uva-dare digital academic repository pair modeling dynalearn-students attitude actual effect,4_student_learning_language_course
observation desirability enhanced international legal status non-state actor,8_international_law_legal_nsa
investigation concept religious communication,-1_research_study_paper_analysis
debate humor rudeness effect humor rudeness judge decision,-1_research_study_paper_analysis
setd 6 lysine methylation rela couple glp activity chromatin tonic repression nf-κ b signaling,1_clinical_treatment_disease_patient
unconventional journal protect nonconformist,-1_research_study_paper_analysis
abstract 2087 internet-based intervention reduce use emergency service among patient chronic cardiac disease,0_health_patient_review_study
dispute resolution international trade investment law privatisation public,8_international_law_legal_nsa
concept appeal,4_student_learning_language_course
japan 's industrial policy teacher positive accession gatt=,-1_research_study_paper_analysis
2003 index ieee transaction visualization computer graphic vol 9,-1_research_study_paper_analysis
economic commission europe french english english conference european statistician un/ece work session methodological issue involving integration statistic geography neuchâtel switzerland 10-12 april 2000 topic policy organizational aspect gi statis,8_international_law_legal_nsa
society economic analysis limited first mover disadvantage private information,8_international_law_legal_nsa
influence habitat modification habitat composition anadromous salmonid population fish creek oregon 1983-1988 annual report,2_soil_microbial_paper_habitat
lower bound algebraic computation tree,9_quantum_computation_circuit_congestion
book review,8_international_law_legal_nsa
effect mitigative measure productivity white sturgeon population columbia river downstream mcnary dam determine status habitat requirement white sturgeon population columbia snake river upstream mcnary dam 1995-1996 annual report,2_soil_microbial_paper_habitat
nuclear energy israel,-1_research_study_paper_analysis
lorenzo 's oil adrenoleukodystrophy examining artificial intelligence tool intended conducting literature search analysis,-1_research_study_paper_analysis
electron scattering neutrino physic,-1_research_study_paper_analysis
study protocol conquerfear-hk randomised controlled trial metacognition-based manualised intervention fear cancer recurrence among chinese cancer survivor,0_health_patient_review_study
alternative clinical approach treatment pruritus related canine atopic dermatitis,1_clinical_treatment_disease_patient
comparative study sentiment analysis public opinion data using bert lstm architecture based transformer approach,-1_research_study_paper_analysis
prediction death count based short-term mortality fluctuation data series using multi-output regression model,-1_research_study_paper_analysis
usage area nanoparticles veterinary dermatology,-1_research_study_paper_analysis
comparative study sentiment analysis public opinion data using bert lstm architecture based transformer approach,-1_research_study_paper_analysis
3.m round table health system strengthening european union infrastructure digitization health workforce,0_health_patient_review_study
usage area nanoparticles veterinary dermatology,1_clinical_treatment_disease_patient
synthetic microbial ecology engineering habitat modular consortium,2_soil_microbial_paper_habitat
multiplanar 3d fluoroscopy redefines tool–lesion relationship robotic‐assisted bronchoscopy,-1_research_study_paper_analysis
scientific basis botanical medicine alternative remedy rheumatoid arthritis,-1_research_study_paper_analysis
usability testing smartphone application delivering qigong training,0_health_patient_review_study
application energy psychology addressing psychological root illness,0_health_patient_review_study
murder justice-a paradoxical view encounter killing vanshika mittal,-1_research_study_paper_analysis
isozyme variation race maize mexico,2_soil_microbial_paper_habitat
heartbioportal internet-of-omics human cardiovascular disease data,1_clinical_treatment_disease_patient
design implementation hci course mi students-some lesson,4_student_learning_language_course
limited impact smoking ban commercial outdoor dining area smoking hot spot case study,-1_research_study_paper_analysis
modeling soil process,2_soil_microbial_paper_habitat
smart apartment demand-response fixed battery,3_power_system_planning_voltage
analysis international construction risk factor partner selection applying anp approach,-1_research_study_paper_analysis
update americasseptember 2012 international support justice reform latin america worthwhile worthless,-1_research_study_paper_analysis
reviewing potential utility interleukin-7 promoter thymopoiesis immune recovery,1_clinical_treatment_disease_patient
converging technology society opportunity radio frequency identification rfid thailand 's transportation system,-1_research_study_paper_analysis
obituary ajit dhaunchak ph.d,-1_research_study_paper_analysis
evidence spinal stepping generator man,-1_research_study_paper_analysis
correlation structure introgressive population,2_soil_microbial_paper_habitat
cost pricing regime sustainable water resource,3_power_system_planning_voltage
cross-species hybridization spotted microarrays tool functional genomics horticultural plant,2_soil_microbial_paper_habitat
trisenox arsenic trioxide treatment multiple myeloma bone marrow transplantation,1_clinical_treatment_disease_patient
physical process affecting microbial habitat activity unsaturated agricultural soil,2_soil_microbial_paper_habitat
finding formula successful recycling collection,3_power_system_planning_voltage
abstract paper presented 5th meeting whitefly field crop vegetable,2_soil_microbial_paper_habitat
